ID,ClienteID,Monto,FechaEmision,Descripcion
1,218040761,25000.0,2024-12-05,Matrícula mensual - Plan básico
2,608858929,45000.0,2025-01-10,Matrícula trimestral - Plan premium
3,940817564,15000.0,2025-02-18,Renovación mensual - Plan básico
4,997702199,70000.0,2025-03-25,Matrícula semestral - Plan completo
5,571944977,30000.0,2025-04-12,Matrícula mensual - Clases grupales
6,135545587,60000.0,2025-05-27,Matrícula trimestral - Plan estándar
7,479026687,12000.0,2025-06-15,Renovación mensual - Plan básico
8,920830050,55000.0,2025-07-22,Matrícula mensual - Personalizado
9,374650218,25000.0,2025-08-05,Renovación mensual - Plan premium
10,832534223,15000.0,2025-09-14,Matrícula mensual - Plan básico
11,127181156,30000.0,2025-01-18,Matrícula mensual - Clases grupales
12,735468098,80000.0,2025-02-10,Matrícula semestral - Plan premium
13,367633182,18000.0,2025-03-15,Renovación mensual - Plan estándar
14,518194723,45000.0,2025-04-22,Matrícula trimestral - Clases grupales
15,393437576,25000.0,2025-05-08,Matrícula mensual - Plan básico
16,171262344,15000.0,2025-06-14,Renovación mensual - Plan económico
17,769462932,60000.0,2025-07-20,Matrícula trimestral - Plan completo
18,889410843,70000.0,2025-08-09,Matrícula semestral - Plan premium
19,140998762,20000.0,2025-09-15,Matrícula mensual - Clases de yoga
20,479989789,55000.0,2025-10-02,Matrícula trimestral - Plan estándar
21,218040761,60131,2024-11-26,matricula yoga
